WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((16.366637006402062 193.47557994739986, 2.567088028838538 185.8133339004587, -12.466926664634693 201.55644183550407, -24.120469675050405 226.2667393373374, -23.04802109708669 250.3391085967894, -17.156738234929257 273.09740473983425, -10.678466935186451 297.30704995231804, -5.708046957596601 315.2700261932125, 4.981761009186763 341.06441110200535, 11.355007390499749 349.267117379967, 13.69902255566061 353.263879129762, 15.031443883495346 357.1948691668524, 13.288782070118343 366.1148844055549, 9.43703708633811 379.5895095703065, 9.044556124304158 388.9973346331783, 15.470658598087583 393.87131350720097, 25.650741506489112 393.22083788149826, 32.66251445584507 387.5594904176785, 34.52787352271267 380.21591341352064, 33.160039349107684 372.73794799452503, 30.714022873689352 363.92255549872857, 21.993894929819305 356.14405256651594, 21.133941504501408 345.8258913125121, 25.523247752075182 334.95346988823826, 22.780739654108256 316.8256402145323, 19.143743615756456 297.4547948431689, 17.58579733205738 286.6562119892558, 17.120416819786946 274.1863338270025, 13.099995803301026 256.69034040131123, 12.366274751398706 235.33740884120448, 11.314890330633915 223.60496674174215, 13.518327219550237 205.75041458377768, 16.366637006402062 193.47557994739986), (16.532473072675025 359.6885010038966, 21.412497848783268 357.4463857148487, 26.381037348795143 361.1795941858179, 28.89216572947245 364.51021133998324, 30.524947692943254 367.9938142936055, 31.91027751636404 373.79916802086996, 31.595867308563115 380.10666176012023, 31.159972998765262 386.41821048388124, 24.735680978801884 391.15204658450125, 18.826672449410843 391.51417204578706, 13.632976669170406 389.54898442848275, 11.378689842506137 386.1615336585271, 10.682912748451258 381.9227461066623, 10.642893075222693 377.8108736374895, 11.60393469762149 374.54131529939673, 13.420042349743632 369.48371595304593, 14.601633424912674 363.88123967574643, 16.532473072675025 359.6885010038966)))",11.0,r16389482,16389482,relation,fairway,multipolygon,fairway,Fairways,12,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((3.3290260166632044 11.350066375958932, 6.94159993052331 11.287798118775072, 7.021710691465576 3.2939778581555856, 7.198917749287074 -11.406275623345437, -6.045750538242094 -12.327546610800937, -7.23129827232817 -1.0060605651244714, -6.790745658154976 12.34339088923548, -3.5955854149452415 12.162338797078291, 3.3290260166632044 11.350066375958932)))",109.0,w1208043437,1208043437,way,tee,multipolygon,tee,Greens and bunks,12,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((29.092054943393496 357.3107033118879, 34.03625950307326 352.598118643092, 37.143589976252585 358.5098790395057, 42.34277183942389 359.76907268558875, 43.81893788493374 364.3045544175777, 41.08479803696834 368.2546513683053, 42.59289560359557 373.3118901261639, 38.393737177646415 379.3961463832841, 35.69638239154757 376.2969612290078, 35.35811211743806 372.36093969641047, 30.714022873689352 363.92255549872857, 28.61591233653511 360.1186714813764, 29.092054943393496 357.3107033118879)))",117.0,w1208049639,1208049639,way,bunker,multipolygon,bunker,Greens and bunks,12,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((5.109609064577174 359.9229890803065, 10.079256906992855 354.8305085786535, 12.60007381946896 357.49319777181995, 12.040163367969079 364.13464485394684, 10.350445295750713 373.766747181711, 5.609171647623233 374.9404877094173, 4.124442577408008 368.6126126610304, 1.7845769877535809 366.39733182830355, 5.109609064577174 359.9229890803065)))",118.0,w1208049640,1208049640,way,bunker,multipolygon,bunker,Greens and bunks,12,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((16.532473072675025 359.6885010038966, 21.412497848783268 357.4463857148487, 26.381037348795143 361.1795941858179, 28.89216572947245 364.51021133998324, 30.524947692943254 367.9938142936055, 31.91027751636404 373.79916802086996, 31.595867308563115 380.10666176012023, 31.159972998765262 386.41821048388124, 24.735680978801884 391.15204658450125, 18.826672449410843 391.51417204578706, 13.632976669170406 389.54898442848275, 11.378689842506137 386.1615336585271, 10.682912748451258 381.9227461066623, 10.642893075222693 377.8108736374895, 11.60393469762149 374.54131529939673, 13.420042349743632 369.48371595304593, 14.601633424912674 363.88123967574643, 16.532473072675025 359.6885010038966)))",119.0,w1208049641,1208049641,way,green,multipolygon,green,Greens and bunks,12,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((2.526180750056923 44.62337081947567, -11.211176048958027 44.58723543080055, -7.547485546491011 22.317365591851512, 6.613632645223364 21.076538082894558, 2.526180750056923 44.62337081947567)))",123.0,w1211388834,1211388834,way,tee,multipolygon,tee,Greens and bunks,12,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
