WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((4.646438699933223 254.42702899901178, 1.746320461441176 244.4696570904921, -0.7605348116448347 231.9078822009874, -1.735655915830507 219.39321438818524, -5.7923920851681 212.61609244814736, -11.402329905740858 195.78331789731465, -14.923865236874274 180.10831991731948, -17.704944097840563 164.71445048640135, -21.159460768761043 149.98236183211247, -23.95521697736272 130.8919483594309, -17.998291444957268 126.56706651872582, -11.077404658267504 128.93375993381596, -5.868051568579056 144.04706852025356, 6.524292163780016 183.49232340889557, 14.244460566842113 198.42568940689262, 12.957426182859395 218.573557993368, 16.2144586733721 224.01181672920075, 20.90115367253568 235.5788172857956, 22.01922873781067 248.3387750234806, 24.028144610531495 257.27191335593034, 23.29851405842323 264.7519394968094, 18.111092434198 267.56143157307406, 9.996482055654917 261.7093657952637, 4.646438699933223 254.42702899901178), (4.7314935729901695 222.3817178259992, 8.01991817937099 218.63349801765025, 13.12480586675584 221.89986238014853, 16.598675905873236 231.11240888332077, 19.153577564650043 237.68354500960868, 20.182662490227717 248.26929555732704, 22.20124480342328 254.13634260276694, 21.570052658166784 260.1619146463281, 17.739534658367177 263.4328068636296, 12.18170044313158 260.58797082298724, 8.18741552844433 255.292737580412, 5.194101301588494 248.5511908298099, 3.465912382866441 240.18518256731568, 4.13900196821446 229.10851453230407, 4.7314935729901695 222.3817178259992)))",12.0,r16389483,16389483,relation,fairway,multipolygon,fairway,Fairways,13,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((20.270322137994352 228.53865866468823, 18.4594015892127 226.29857726358523, 18.017246206556084 221.51567046461423, 16.062144575738376 218.10544083894683, 17.53767171115025 212.61784388856768, 23.649126925373718 214.87384410567302, 26.63882123683892 220.67873723974571, 26.119101855724796 227.509041353876, 28.081245622675276 232.84264863868202, 29.377566305356012 239.99856265638755, 24.585384571582665 239.70294749777167, 23.33619755585622 240.99761751419237, 22.20530011641497 238.28135256696896, 21.91859428069471 231.81457972499402, 20.270322137994352 228.53865866468823)))",115.0,w1208043444,1208043444,way,bunker,multipolygon,bunker,Greens and bunks,13,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((4.7314935729901695 222.3817178259992, 8.01991817937099 218.63349801765025, 13.12480586675584 221.89986238014853, 16.598675905873236 231.11240888332077, 19.153577564650043 237.68354500960868, 20.182662490227717 248.26929555732704, 22.20124480342328 254.13634260276694, 21.570052658166784 260.1619146463281, 17.739534658367177 263.4328068636296, 12.18170044313158 260.58797082298724, 8.18741552844433 255.292737580412, 5.194101301588494 248.5511908298099, 3.465912382866441 240.18518256731568, 4.13900196821446 229.10851453230407, 4.7314935729901695 222.3817178259992)))",116.0,w1208043445,1208043445,way,green,multipolygon,green,Greens and bunks,13,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-8.129245748331575 25.399791161858047, -4.352780648144253 15.430779809419164, 1.305120671524239 5.905570238739983, 15.049777279804719 -8.011786751712862, 17.896939691203876 -13.679992929853597, 14.149480109783093 -24.649564399969677, 7.439854518508983 -23.065278978822334, -3.0681462021287214 -10.905358788706963, -9.937399555376382 4.541940149663333, -14.644653608825939 16.099047522009187, -17.558670811044028 25.725467787005982, -13.737832591155488 31.084501121711128, -8.129245748331575 25.399791161858047)))",120.0,w1208049643,1208049643,way,tee,multipolygon,tee,Greens and bunks,13,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
