WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((11.287108529017344 68.54168344413438, 7.991483373604806 58.45507532327474, -3.6941476910627298 54.27532970178618, -10.692559074245118 56.07028743081855, -15.021353264707463 62.52391012420958, -17.489478744133603 75.01540952064488, -18.791059636851664 84.3503200384248, -22.057176193767273 104.76735475291434, -24.75968492667027 116.80692518059914, -25.77389947331438 132.10909629560547, -25.21812127243065 145.2816771910284, -24.00460243000486 158.40723611936028, -23.976877953487772 174.99306567512576, -22.8464507924266 193.21733681405703, -19.203721710294012 211.34259320641604, -21.405071809348893 217.58878859842298, -19.025156023468625 227.09056966768912, -11.447297232918704 245.53094383668395, -8.555548308288207 263.1628410776875, -6.2283842397809694 274.49931045155836, -0.1003320604951817 283.262594765888, 12.888516372758172 291.5580541756731, 28.682909126581205 304.46160899246024, 44.31537048387573 321.1633590661336, 55.41233180604735 328.86875918424266, 65.85588818341886 337.10478306642926, 71.60429666440734 344.0594631123827, 77.16416651852985 348.37966263185535, 79.26361809249725 348.93742812147366, 85.55814892101951 348.43766596507066, 91.66875972156845 338.4098574390464, 92.21613704676253 334.926521518405, 89.41969962168217 327.7002692674, 88.244402386391 324.669132722363, 86.88579056451493 323.95256040837467, 81.02409065080995 320.84087810610527, 71.04232730147555 317.91418177486094, 67.42238898977283 309.0354698956571, 62.03831871750111 288.5479231666636, 47.32141908362677 271.96381116762495, 30.593388551173316 257.99688446489654, 18.926711976340716 252.57907914761518, 12.025048899591527 242.85462572769802, 9.211113610817367 228.239849972274, 10.949413225874284 211.0509116332878, 11.103137963150814 173.0121827268158, 10.872615265894359 150.0322701000232, 10.017206807296844 135.1021863264009, 9.053792392105006 120.88619395015257, 8.667957531759638 106.1048892396775, 9.970980187961816 78.16954081849644, 11.287108529017344 68.54168344413438), (66.6814313197419 328.67479715635, 67.2301448791247 334.3830893540462, 73.4462913123173 342.295922755045, 79.01879914281471 346.8989552265316, 82.5156549081246 346.83799836354865, 85.71053048943938 345.8560606264882, 89.55997978437283 339.7694653297185, 91.1125559261645 335.47187344579015, 88.77261366578415 328.37230950489584, 83.53125473758357 324.33795867762456, 80.43754936828569 322.8292271348914, 77.26493293620996 321.44869327291644, 70.71449049348443 321.2080155772719, 69.22700875464578 323.0193741615949, 67.29905078967197 325.75836908737983, 66.6814313197419 328.67479715635)))",15.0,r16389486,16389486,relation,fairway,multipolygon,fairway,Fairways,16,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((4.038205769275776 8.987259321627334, -0.0023535494023341 12.57511263577726, -3.230736021202874 11.763438693117223, -5.591908874643433 6.972050935439711, -5.289867256236485 -0.1849192891450002, -4.102020728854212 -7.078398987214314, -0.3045898801929234 -12.318979347389813, 3.2433295968370826 -12.93806124094317, 5.435732832300431 -7.787365230024079, 4.868448759590685 -1.1157705915184124, 4.038205769275776 8.987259321627334)))",31.0,w1208043345,1208043345,way,tee,multipolygon,tee,Greens and bunks,16,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((27.705451136995563 234.22650025338044, 24.39162210237726 236.02544228816896, 21.200713106811946 236.3230093849961, 16.948689130511614 235.8741942748702, 17.474830908902884 231.37441630362446, 19.728792509832598 227.81327098855172, 20.2686746452629 223.77562503680338, 17.966139470104856 222.53863500023726, 15.602692990310324 220.47967285293453, 17.162761844994456 215.0740818806139, 21.072467954549875 214.35634478661768, 24.17146871174281 219.38540645240892, 26.9615797173072 221.48331487494943, 26.050287298186817 226.60261146041648, 27.61132575150923 230.88298529043868, 27.705451136995563 234.22650025338044)))",32.0,w1208043347,1208043347,way,bunker,multipolygon,bunker,Greens and bunks,16,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-20.256634984090407 241.51212641350185, -25.064852846880278 244.77456377948783, -27.52109343457349 245.23909655203397, -31.29545804126806 247.36212643019144, -33.29270837016842 245.92170536273443, -33.21982844182854 241.59954180742943, -32.76605974644547 236.40785233112183, -29.497494667191845 232.0109812769988, -27.682609146925422 232.15345843738532, -24.767885145771032 234.79804688865443, -21.805771204722355 236.8409497788275, -20.38617425515375 238.61308869375762, -20.256634984090407 241.51212641350185)))",33.0,w1208043348,1208043348,way,bunker,multipolygon,bunker,Greens and bunks,16,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((66.6814313197419 328.67479715635, 67.2301448791247 334.3830893540462, 73.4462913123173 342.295922755045, 79.01879914281471 346.8989552265316, 82.5156549081246 346.83799836354865, 85.71053048943938 345.8560606264882, 89.55997978437283 339.7694653297185, 91.1125559261645 335.47187344579015, 88.77261366578415 328.37230950489584, 83.53125473758357 324.33795867762456, 80.43754936828569 322.8292271348914, 77.26493293620996 321.44869327291644, 70.71449049348443 321.2080155772719, 69.22700875464578 323.0193741615949, 67.29905078967197 325.75836908737983, 66.6814313197419 328.67479715635)))",34.0,w1208043349,1208043349,way,green,multipolygon,green,Greens and bunks,16,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((94.90497429193994 319.3337953224295, 91.01224928754452 325.8048945118435, 86.88579056451493 323.95256040837467, 85.12820896807209 319.83516196680966, 81.71370913615466 314.1237708677045, 76.09624254857266 314.50642379499186, 72.73700439077814 314.9025569529863, 71.96566464279742 309.54665312442785, 73.54204772541208 306.1297647472429, 76.63119345478705 304.7918019166809, 80.11967559427923 306.36032853141614, 82.99405448206993 303.7724182993202, 86.63910871605391 304.4380615167256, 87.79692047629547 308.39222014275947, 87.29965212684024 311.6053209388542, 88.84518591897262 314.8042224119831, 92.73240893467882 314.08586434071367, 94.90497429193994 319.3337953224295)))",35.0,w1208043350,1208043350,way,bunker,multipolygon,bunker,Greens and bunks,16,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((84.7406841225777 354.3037904486914, 82.50992897482519 350.227646901933, 78.68133620678763 349.5134753427192, 72.61075045866527 347.2163134256334, 69.40676550641909 349.1540988871975, 67.16287296614463 354.79612480728974, 69.96195065170015 358.79561476736626, 75.16759545407392 359.01544665527354, 79.51844219012267 359.47242360750124, 83.92747872095053 358.75761312132, 84.7406841225777 354.3037904486914)))",36.0,w1208043351,1208043351,way,bunker,multipolygon,bunker,Greens and bunks,16,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
