WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((26.49666416107417 369.556381164615, 26.918546548340352 374.316544510242, 30.234737278815484 378.446355186926, 33.65928377504314 385.57179654151355, 33.78193256543101 391.83932780018154, 32.98302089543172 396.7569102850314, 30.998250590086002 401.21508091686906, 24.243353030510136 405.3138316056027, 19.099463763945543 405.63794597399806, 15.133385012509514 403.4169091622118, 12.106597835609316 398.7084921342182, 9.961002285751366 391.78332692525714, 13.129965649313249 382.2758487876865, 16.06736200717796 376.60525846009364, 15.4347733586625 365.6219362902891, 12.504699279137956 353.4160616834231, 10.10478512545326 341.6671037098047, 5.196850094336865 324.35741642313474, 8.749759026631613 314.99353206327555, 14.289846506482935 304.1497529665719, 10.947295274967574 296.58350932922644, 0.0080770269685436 294.8884472037196, -9.040137082458903 290.13904668008877, -13.302205922970014 284.4593147704893, -7.515734082005806 276.69142004197624, -4.224119451028811 262.7527745744021, -5.934585769230741 245.87923150490155, -5.837037410550703 230.43743501845597, -13.362049175936866 220.44293136913097, -18.72898498761524 209.22364368929834, -28.007472860109566 194.69471202285717, -31.057982062374574 181.34274861052631, -23.75600000889398 156.38237878712175, -9.449139012397033 127.18896927981064, -1.9146482383459684 123.80012313124212, 5.106407647882863 122.17638832396347, 9.183388053099023 127.59983783552457, 10.601084027433654 140.07677130448087, 13.501976430544843 154.18241867160646, 15.994662556885007 168.57282711683524, 18.14796212170957 185.4312900426578, 15.405892220121643 203.51231675935765, 20.596437804161013 220.3633370526893, 15.753205596128037 234.88826643951938, 10.055873055166556 254.55000775828807, 13.972205961513708 269.85842630051934, 27.982495106284684 284.4165414568431, 32.21669433012966 295.74887583968234, 33.3278844343226 308.8546465494949, 37.385351803733904 322.04874964428086, 39.74171055359313 335.82540099578296, 34.832947193418235 345.8433755365161, 26.49666416107417 369.556381164615), (18.20413358986358 378.39982827485187, 24.42243174033067 375.7199899669615, 29.848359700988333 379.35263402234455, 32.044234834559326 385.5159134328744, 32.67534060707157 390.861423943237, 31.897218386587202 397.80340531657544, 27.090248022118786 402.75156057969184, 22.052659786473587 404.8489193784883, 17.647503743556808 403.3318455561687, 15.623781135702929 400.5481792431408, 12.554193110646217 393.3229378734916, 13.093601813115736 388.58189402233734, 13.198899242072669 385.7157968234526, 14.87789446892088 381.3700942245066, 18.20413358986358 378.39982827485187)))",9.0,r16389480,16389480,relation,fairway,multipolygon,fairway,Fairways,10,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((18.20413358986358 378.39982827485187, 24.42243174033067 375.7199899669615, 29.848359700988333 379.35263402234455, 32.044234834559326 385.5159134328744, 32.67534060707157 390.861423943237, 31.897218386587202 397.80340531657544, 27.090248022118786 402.75156057969184, 22.052659786473587 404.8489193784883, 17.647503743556808 403.3318455561687, 15.623781135702929 400.5481792431408, 12.554193110646217 393.3229378734916, 13.093601813115736 388.58189402233734, 13.198899242072669 385.7157968234526, 14.87789446892088 381.3700942245066, 18.20413358986358 378.39982827485187)))",45.0,w1208043361,1208043361,way,green,multipolygon,green,Greens and bunks,10,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((33.210027878359796 364.0512342696036, 33.07293653979543 359.2973705590805, 35.9356099047819 354.94611318643024, 38.38168476466958 354.8037885423571, 40.76334595474047 356.0505053199256, 42.62436880449013 356.7980558291754, 41.7941756693634 359.75062325953445, 40.6979380850877 361.4848294434398, 41.46151328487671 363.48448531785493, 41.57065678102542 366.59207410270596, 39.33851980674853 370.00556881243824, 37.71999960202417 372.4024394498281, 36.99266000188904 375.552856548494, 34.31472155767315 378.40450667169193, 31.93554932116586 376.7362445976312, 29.47153935757561 374.1744404553299, 28.096596697630638 372.27062834600133, 29.082046504200875 368.5906640955966, 31.957140858687268 366.1598287555114, 33.210027878359796 364.0512342696036)))",46.0,w1208043362,1208043362,way,bunker,multipolygon,bunker,Greens and bunks,10,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((16.953836527291905 239.61804890000053, 21.081269806645686 235.46589598127525, 22.572334132969633 229.52956662811516, 25.458639412700343 228.53705249840345, 27.751877732514412 230.08632631358182, 27.216407683455152 235.38716070637633, 27.626953387389968 239.46642246241595, 26.574909410936115 244.07046150602014, 24.251129825482597 248.72442775781906, 24.683333413534623 251.540225319535, 23.823958604853193 256.3925655118794, 21.550401662931396 259.6563186520609, 18.954413428117515 259.4247649183501, 17.30093650875926 255.7679164691524, 14.684524219537883 253.25377924555937, 12.700109904314454 248.76914093966775, 14.659706007421455 245.38478667403183, 16.478167646034976 244.11474785756695, 16.953836527291905 239.61804890000053)))",47.0,w1208043364,1208043364,way,bunker,multipolygon,bunker,Greens and bunks,10,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-5.718272808989678 0.7738068295805078, -4.201851582158638 -6.36543119392968, -0.0923202346388432 -8.565237074268452, 4.589144519460751 -8.40249510776971, 6.149220668581631 -3.599999027977674, 4.793022134020917 3.9828258382897275, 2.221327781972425 7.979393075250982, -2.284878581564924 9.001695070247706, -5.462630263403322 7.336355051430701, -5.718272808989678 0.7738068295805078)))",53.0,w1208043371,1208043371,way,tee,multipolygon,tee,Greens and bunks,10,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-9.74879395260974 25.367357121450596, -3.8648237566129477 20.912661509684085, 2.9829027129410552 20.083688605747056, 6.134485999851404 26.86812769263838, 3.09446386200308 34.8541776202012, -1.4948577184522802 41.11998422061447, -6.895761003271039 41.199091926213214, -11.774678241984184 39.4879728457488, -12.882261916005723 31.856653107182638, -9.74879395260974 25.367357121450596)))",54.0,w1208043372,1208043372,way,tee,multipolygon,tee,Greens and bunks,10,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-8.22330466636735 53.93997101313403, -7.451726401670764 56.301788348317814, -7.432820870732968 58.98878294266865, -8.17089212207165 61.69934886111719, -9.599289049909855 64.13773862192443, -11.532192428737769 66.04386542206726, -13.785723884657399 67.19191083221517, -16.105232596320455 67.49100719777402, -18.237038159608584 66.86742104409291, -19.94474519524387 65.4267421022962, -21.04308256823365 63.296160469725464, -21.43210803100935 60.72492839420988, -21.04317267885422 58.01135732832677, -19.95614822517103 55.43288886318692, -18.26412697669509 53.248658704450236, -16.159538465607756 51.70960072276898, -13.864952438579982 50.96948148874276, -11.627438991629221 51.11118740594179, -9.668414750210784 52.1422585556968, -8.22330466636735 53.93997101313403)))",127.0,w1211388839,1211388839,way,tee,multipolygon,tee,Greens and bunks,10,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
