roundid,holeid,hnum,shotid,stroke,startpos,holedis,shots_to_hole_out,holedis_yards
96886,1739471,15,5616923,4,4,5,2,1.6666666666666667
96886,1739471,15,5616924,5,4,1,1,0.3333333333333333
96886,1739473,17,5616930,3,4,12,2,4.0
96886,1739473,17,5616931,4,4,1,1,0.3333333333333333
96886,1739474,18,5616934,3,4,10,2,3.3333333333333335
96886,1739474,18,5616935,4,4,3,1,1.0
86619,1554670,2,4993013,4,4,20,2,6.666666666666667
86619,1554670,2,4993014,5,4,2,1,0.6666666666666666
86619,1554671,3,4993017,3,4,1,1,0.3333333333333333
86619,1554672,4,4993019,2,4,15,2,5.0
86619,1554672,4,4993020,3,4,2,1,0.6666666666666666
86619,1554673,5,4993024,4,4,4,1,1.3333333333333333
86619,1554674,6,4993027,3,4,17,2,5.666666666666667
86619,1554674,6,4993028,4,4,1,1,0.3333333333333333
86619,1554675,7,4993032,4,4,20,2,6.666666666666667
86619,1554675,7,4993033,5,4,1,1,0.3333333333333333
86619,1554676,8,4993039,6,4,1,1,0.3333333333333333
86619,1554677,9,4993042,3,4,11,1,3.6666666666666665
86619,1554678,10,4993046,4,4,25,2,8.333333333333334
86619,1554678,10,4993047,5,4,2,1,0.6666666666666666
86619,1554679,11,4993050,3,4,30,2,10.0
86619,1554679,11,4993051,4,4,3,1,1.0
86619,1554680,12,4993054,3,4,10,2,3.3333333333333335
86619,1554680,12,4993055,4,4,1,1,0.3333333333333333
86619,1554681,13,4993057,2,4,12,2,4.0
86619,1554681,13,4993058,3,4,1,1,0.3333333333333333
86619,1554682,14,4993061,3,4,15,2,5.0
86619,1554682,14,4993062,4,4,1,1,0.3333333333333333
86619,1554683,15,4993065,3,4,3,1,1.0
86619,1554684,16,4993068,3,4,10,2,3.3333333333333335
86619,1554684,16,4993069,4,4,1,1,0.3333333333333333
86619,1554685,17,4993071,2,4,30,2,10.0
86619,1554685,17,4993072,3,4,2,1,0.6666666666666666
86619,1554686,18,4993076,4,4,4,1,1.3333333333333333
87029,1562031,1,5016556,4,4,3,1,1.0
87029,1562032,2,5016560,4,4,20,2,6.666666666666667
87029,1562032,2,5016561,5,4,2,1,0.6666666666666666
87029,1562033,3,5016564,3,4,1,1,0.3333333333333333
87029,1562034,4,5016566,2,4,15,2,5.0
87029,1562034,4,5016567,3,4,2,1,0.6666666666666666
87029,1562035,5,5016571,4,4,4,1,1.3333333333333333
87029,1562036,6,5016574,3,4,17,2,5.666666666666667
87029,1562036,6,5016575,4,4,1,1,0.3333333333333333
87029,1562037,7,5016579,4,4,20,2,6.666666666666667
87029,1562037,7,5016580,5,4,1,1,0.3333333333333333
87029,1562038,8,5016586,6,4,1,1,0.3333333333333333
