WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((-13.579320768225909 122.97777007573814, -8.328821591953341 114.46976972517973, 3.07237862334231 109.997117401374, 14.536098521172105 118.86389792071782, 15.298504909896092 130.0904592244433, 15.214640932062036 141.57010781246981, 14.696331863445698 155.7322943020131, 11.74105315569091 172.5417137223826, 8.512728662023491 187.1629203841792, 5.200020792254107 198.4399902523694, 2.8038988580923463 207.0831564624939, 7.832314065316513 220.37326887511767, 18.66743413252605 247.52219868988277, 23.503657751962532 262.5984229630217, 28.511537597881563 281.7011976597621, 30.474324646947437 300.8415945393517, 30.277969058536527 312.88875998468257, 31.533649644855846 325.15231410803494, 35.04695046808941 341.63332628811986, 38.76231929733415 356.9526733707721, 41.50569954993216 375.3852133740702, 43.99628767331881 388.35903843069445, 48.59591152039068 400.1380913377659, 48.2065681280897 413.3521444614985, 47.913577785431826 427.2538337918809, 51.718008502900275 438.81764836145294, 54.415146531634996 449.2065335169457, 54.7406203882012 450.44294576267475, 56.52410204884129 456.539928061336, 49.69435876346023 461.6241891941968, 35.38383448954289 454.52325144158976, 30.760678215061276 444.3851906879479, 32.535020985180665 435.3978526515357, 39.00503155205901 426.05780383316755, 36.60409612574385 419.6056860674389, 19.594036367451203 404.239811722382, 13.61063876833771 388.8804177709062, 15.79034317911485 378.21612358081893, 18.519077535134382 361.0208272792829, -2.965791680933493 323.5631769100837, -3.5573967519647876 300.6648440885647, -22.146553897652314 257.13811714811754, -20.810847607144094 245.73281061065927, -22.5513716847557 207.08114868625444, -28.601171256705506 186.10121538129192, -27.95850361903286 173.54401925496745, -19.882397638829747 163.35214419115573, -11.57488979522237 148.73332442191668, -11.913984445934062 133.8358666396357, -13.579320768225909 122.97777007573814), (47.444404319799155 431.15392974065117, 44.79004193876784 428.8739627893085, 39.13058445098608 428.59163047171364, 35.04536585843185 433.9765490128093, 33.00365353017819 440.2812357657285, 32.519629734064296 445.5179343582722, 35.60059632220711 453.43729486244, 45.255982604199225 458.04909789345857, 50.21567858799612 459.3144528251469, 52.33894743132465 458.4507015698, 54.79834027125548 456.3678746275434, 53.710661524090234 449.8909076786049, 51.896839484496304 444.4355953198692, 49.86356275646157 437.05156820263255, 47.444404319799155 431.15392974065117)))",4.0,r16389193,16389193,relation,fairway,multipolygon,fairway,Fairways,5,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((8.371930260341813 17.83592321512174, -3.948571249203611 18.228648976330533, -6.8977990959169615 3.847659752648269, -8.50881070788103 -5.56679016683006, -5.019589099960087 -17.63013120405276, 2.624022229335834 -19.327324559346835, 7.92346137916416 -5.1145976149052785, 5.906793701187489 9.315712041028519, 8.371930260341813 17.83592321512174)))",78.0,w1208043403,1208043403,way,tee,multipolygon,tee,Greens and bunks,5,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((25.725501031088097 90.19135055270681, 18.353016350882232 87.98215062802456, 16.726326887852736 79.56754140002886, 21.58433790636637 77.53261409346351, 28.23920488438528 81.87139025902297, 29.64392580274466 87.6294611066453, 25.725501031088097 90.19135055270681)))",79.0,w1208043404,1208043404,way,tee,multipolygon,tee,Greens and bunks,5,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-30.395298167753698 194.1221221230876, -33.424095898415615 191.49228007992633, -36.35711769132079 186.95361443355978, -37.709356740255 183.66043972369425, -38.04387069427356 178.1547215517503, -37.16697823986992 174.71780423409655, -35.47262596032796 173.47284240456815, -32.960813855647686 174.419836064028, -31.710666683093475 178.08473755784917, -31.9683564315012 181.70292754646653, -30.1616465509208 185.00191890125052, -29.29614665531334 186.8179619812713, -27.282153249382425 188.716162087037, -27.83396995812965 193.0798795580688, -30.395298167753698 194.1221221230876)))",81.0,w1208043407,1208043407,way,bunker,multipolygon,bunker,Greens and bunks,5,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((28.149381993670666 443.6903607370823, 24.806275053689255 440.5300027902308, 24.295520268794654 437.25001680758965, 24.18858848683673 434.47132295592155, 26.68393532739474 431.81731201019034, 27.64067546122116 429.7311096409669, 26.310859613079337 427.00234091880816, 29.030728960634832 423.46860862921403, 32.2009540469276 421.95604211127375, 34.757004139683076 421.7178501652518, 36.94293547670041 425.10044060032897, 36.053192035117036 427.44039990636225, 33.64055103949072 429.06586486414653, 33.29289558921372 428.9869698868438, 31.154798911123034 434.8864826637987, 31.995992663225337 441.4234525981476, 30.13070896986983 443.80763376729647, 28.149381993670666 443.6903607370823)))",82.0,w1208043408,1208043408,way,bunker,multipolygon,bunker,Greens and bunks,5,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((56.53103911743721 440.76537912540516, 54.45685696937805 439.61274429547075, 53.0855986982821 436.254824708102, 51.767931520370084 433.15640311649076, 52.32557215481972 430.8675570687285, 54.15014703807705 429.0383736830313, 56.37277479591094 429.052307650461, 58.17175530663989 431.86260153840976, 59.206920882756755 436.15713458113987, 59.95422164410297 439.3175952809736, 58.241216947397945 441.08988655517237, 56.53103911743721 440.76537912540516)))",83.0,w1208043409,1208043409,way,bunker,multipolygon,bunker,Greens and bunks,5,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((47.444404319799155 431.15392974065117, 44.79004193876784 428.8739627893085, 39.13058445098608 428.59163047171364, 35.04536585843185 433.9765490128093, 33.00365353017819 440.2812357657285, 32.519629734064296 445.5179343582722, 35.60059632220711 453.43729486244, 45.255982604199225 458.04909789345857, 50.21567858799612 459.3144528251469, 52.33894743132465 458.4507015698, 54.79834027125548 456.3678746275434, 53.710661524090234 449.8909076786049, 51.896839484496304 444.4355953198692, 49.86356275646157 437.05156820263255, 47.444404319799155 431.15392974065117)))",84.0,w1208043410,1208043410,way,green,multipolygon,green,Greens and bunks,5,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
