WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((-194.90173516607751 398.10410147171297, -201.87408909866474 400.4182849797553, -210.12523439098152 398.00081181934047, -215.7105369927741 393.9133580064845, -218.84620818898497 382.07151446919625, -216.32456626238488 372.3507813421452, -212.5503022811888 366.3241757907076, -207.14734871400157 365.889113839487, -202.81594186062236 369.7044198266053, -198.10515040264204 375.0399164232931, -195.12355695176862 379.47555943473617, -192.54917008218456 383.9716619226351, -190.37814527511307 387.980550496884, -186.52686586500465 391.569595775311, -183.01757684664565 390.1223235541147, -180.12476680714443 383.1875757712078, -177.71548332904896 373.6514950073183, -171.59932437112766 369.21363477115847, -163.54877395343738 368.3734764240671, -155.6713636941896 366.7503688430611, -143.01667209360429 361.9440011379652, -126.70746316028112 352.06224088306044, -111.22945591192 353.7474543421831, -101.74676700537984 343.51389600093626, -86.56698747540527 319.53676630719656, -76.2142453491258 304.40127787331676, -55.05268143890351 277.4963736707241, -44.69723564614358 257.78209913670935, -32.15886031896899 237.9980716578234, -23.866894346403072 219.35083417301485, -19.488485889451084 201.0303023963661, -17.121406178184355 170.62900460663286, -14.08161747436185 135.417466038582, -12.302542289185062 87.08508020318277, -11.915804650622185 73.26131136170488, -9.166546808044796 45.793137724781445, -9.488369097526165 23.58728283412802, -8.780500714915636 -4.6264113933625595, -0.8086965449762807 -13.596628100749513, 8.346825252946712 -10.963093466721148, 10.505285041295327 4.74797707715652, 3.9978953561755475 36.03995291740375, -0.4997948117719343 60.48750693894135, 2.204149264779277 98.37602358866434, 5.120186613441722 123.30175279060768, 9.422587656544414 138.11140825355096, 15.969102366208073 164.34097882338847, 17.862977896694915 190.2943162112183, 14.908522693805393 213.44493056456713, 10.633552928132723 222.65332438070118, 6.343505923523602 233.72362560170814, 1.1907938962702787 248.92929627515514, 2.176624218040835 254.31634098868017, 1.995439481632075 263.54320381831485, -3.3597623332321445 271.47224008780313, -6.89294285692357 278.3244976754463, -9.592542311243363 290.90314858062584, -21.16230561050163 305.66023223328784, -34.971650418331166 312.1641638139545, -42.025044026212065 324.6885634743012, -50.01085881670831 340.0389245756696, -71.16541741522288 363.75375658213443, -88.15217225291707 373.98806972346847, -106.48014501796266 384.38072573246245, -120.97715885065136 383.62486910187954, -129.05993447343639 405.0677439375295, -144.89106715674816 408.8915885964275, -156.62238626152663 411.0173127200619, -170.21983705595338 415.738095551435, -183.09220117248606 402.659172698518, -186.7503598605007 398.7223109041656, -194.90173516607751 398.10410147171297), (-192.83532116092348 394.23632745498935, -192.1643390752684 392.531390129443, -191.67336180294242 389.01990525880365, -191.87093654288842 387.33354544913027, -193.49600040277366 384.27541227579695, -196.46635722869587 380.1452462241605, -200.2770699186472 375.2568081802815, -203.72106851212027 371.12017915149636, -206.5908270595562 368.2900427265372, -209.32974689233683 367.4081297924886, -211.60746494863918 367.542347370279, -213.47322156248305 369.3214956779025, -215.14683421238362 372.22631011869, -216.26837922426176 375.49787711920317, -217.11702190482822 378.11223511691423, -217.3704633070472 381.0485483009984, -217.35605417050274 383.5707593819552, -216.87132033532552 386.4766588481916, -216.10998811646405 389.15192448313064, -215.00388760402666 391.7975972419299, -212.64660673260647 394.43507098907503, -208.54044813088657 397.17041869611194, -205.42742600453263 398.0375800102388, -202.2473670095711 398.31409152381866, -198.90623668051455 397.9475984261376, -195.00904572682538 396.4259359537232, -192.83532116092348 394.23632745498935)))",10.0,r16389481,16389481,relation,fairway,multipolygon,fairway,Fairways,11,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-7.027301808284793 4.958731365838958, -5.789948437462838 -6.3278058762261935, 6.316457532910244 -6.70234231109589, 5.631027239927316 7.544907021701874, -3.2739091948820795 5.908382875229563, -7.027301808284793 4.958731365838958)))",41.0,w1208043357,1208043357,way,tee,multipolygon,tee,Greens and bunks,11,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-8.435587862585612 24.011669083481593, -7.452297111720425 8.220462377446438, -2.6020128634723982 8.07622011547437, 5.0223310693607415 8.573515320163096, 4.753218559730039 17.268730114144546, 3.9916909883808858 27.392814160893977, -2.5726358850415356 25.907882142048493, -8.435587862585612 24.011669083481593)))",42.0,w1208043358,1208043358,way,tee,multipolygon,tee,Greens and bunks,11,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-208.95404271379593 406.24222203527324, -205.36829697043723 401.62336077928103, -201.91630849323514 404.335856918899, -198.8364570746431 408.97527231951244, -195.12860874431686 410.9802992184018, -194.21713316198233 415.61771911728783, -197.29741826112456 418.760182311421, -199.81148054436264 413.2952941385656, -204.08194940895817 412.71276315159184, -207.17295149992233 412.13987945307053, -208.85985587568356 406.8353296547798, -208.95404271379593 406.24222203527324)))",110.0,w1208043438,1208043438,way,bunker,multipolygon,bunker,Greens and bunks,11,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-198.49125510194628 369.9021679680868, -196.05398554872892 364.2900324841935, -193.7089297819313 363.2363789830947, -192.12239707954396 367.39923730584906, -190.20987719018984 369.7284130280559, -187.7637738351848 368.671754479617, -186.08199939353858 373.0868244751855, -184.0792778373822 380.77045170740803, -184.57387692959333 383.3682371309146, -188.0833183234358 384.1700469253419, -190.99349903084547 380.0453437365536, -192.7987122656725 377.77462255085993, -195.93782946324322 375.3828078699871, -198.49125510194628 369.9021679680868)))",111.0,w1208043439,1208043439,way,bunker,multipolygon,bunker,Greens and bunks,11,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-192.83532116092348 394.23632745498935, -192.1643390752684 392.531390129443, -191.67336180294242 389.01990525880365, -191.87093654288842 387.33354544913027, -193.49600040277366 384.27541227579695, -196.46635722869587 380.1452462241605, -200.2770699186472 375.2568081802815, -203.72106851212027 371.12017915149636, -206.5908270595562 368.2900427265372, -209.32974689233683 367.4081297924886, -211.60746494863918 367.542347370279, -213.47322156248305 369.3214956779025, -215.14683421238362 372.22631011869, -216.26837922426176 375.49787711920317, -217.11702190482822 378.11223511691423, -217.3704633070472 381.0485483009984, -217.35605417050274 383.5707593819552, -216.87132033532552 386.4766588481916, -216.10998811646405 389.15192448313064, -215.00388760402666 391.7975972419299, -212.64660673260647 394.43507098907503, -208.54044813088657 397.17041869611194, -205.42742600453263 398.0375800102388, -202.2473670095711 398.31409152381866, -198.90623668051455 397.9475984261376, -195.00904572682538 396.4259359537232, -192.83532116092348 394.23632745498935)))",122.0,w1211388833,1211388833,way,green,multipolygon,green,Greens and bunks,11,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
