x,y,lie,club
12.894176971275016,213.90160969260887,rough,Driver
-2.105823028724984,236.90160969260887,fairway,Driver
-5.105823028724984,230.90160969260887,fairway,Driver
18.894176971275016,220.90160969260887,rough,Driver
-3.105823028724984,210.90160969260887,fairway,Driver
6.894176971275016,228.90160969260887,fairway,Driver
-12.105823028724984,227.90160969260887,fairway,Driver
-13.105823028724984,236.90160969260887,fairway,Driver
-26.105823028724984,245.90160969260887,rough,Driver
6.894176971275016,219.90160969260887,fairway,Driver
3.894176971275016,216.90160969260887,fairway,Driver
-23.105823028724984,228.90160969260887,rough,Driver
2.894176971275016,223.90160969260887,fairway,Driver
-20.105823028724984,228.90160969260887,rough,Driver
-11.105823028724984,234.90160969260887,fairway,Driver
-2.105823028724984,230.90160969260887,fairway,Driver
17.894176971275016,222.90160969260887,rough,Driver
-11.105823028724984,237.90160969260887,fairway,Driver
-57.105823028724984,234.90160969260887,rough,Driver
-22.105823028724984,221.90160969260887,rough,Driver
5.894176971275016,228.90160969260887,fairway,Driver
0.8941769712750158,221.90160969260887,fairway,Driver
16.894176971275016,213.90160969260887,rough,Driver
10.894176971275016,226.90160969260887,fairway,Driver
1.894176971275016,227.90160969260887,fairway,Driver
18.894176971275016,228.90160969260887,rough,Driver
-7.105823028724984,222.90160969260887,fairway,Driver
-19.105823028724984,245.90160969260887,rough,Driver
9.894176971275016,215.90160969260887,fairway,Driver
7.894176971275016,225.90160969260887,fairway,Driver
-10.105823028724984,219.90160969260887,fairway,Driver
10.894176971275016,224.90160969260887,fairway,Driver
-26.105823028724984,220.90160969260887,rough,Driver
7.894176971275016,212.90160969260887,fairway,Driver
-10.105823028724984,227.90160969260887,fairway,Driver
18.894176971275016,223.90160969260887,rough,Driver
12.894176971275016,232.90160969260887,fairway,Driver
15.894176971275016,223.90160969260887,rough,Driver
7.894176971275016,222.90160969260887,fairway,Driver
1.894176971275016,203.90160969260887,fairway,Driver
-0.1058230287249841,233.90160969260887,fairway,Driver
0.8941769712750158,223.90160969260887,fairway,Driver
-7.105823028724984,223.90160969260887,fairway,Driver
-1.1058230287249842,231.90160969260887,fairway,Driver
8.894176971275016,224.90160969260887,fairway,Driver
-31.105823028724984,229.90160969260887,rough,Driver
-6.105823028724984,237.90160969260887,fairway,Driver
18.894176971275016,226.90160969260887,rough,Driver
14.894176971275016,230.90160969260887,rough,Driver
18.894176971275016,235.90160969260887,rough,Driver
-0.1058230287249841,221.90160969260887,fairway,Driver
-7.105823028724984,221.90160969260887,fairway,Driver
-0.1058230287249841,253.90160969260887,fairway,Driver
-19.105823028724984,211.90160969260887,fairway,Driver
-24.105823028724984,239.90160969260887,rough,Driver
-6.105823028724984,210.90160969260887,fairway,Driver
4.894176971275016,211.90160969260887,fairway,Driver
-14.105823028724984,235.90160969260887,fairway,Driver
-18.105823028724984,223.90160969260887,fairway,Driver
-21.105823028724984,240.90160969260887,rough,Driver
-33.105823028724984,226.90160969260887,rough,Driver
3.894176971275016,234.90160969260887,fairway,Driver
18.894176971275016,203.90160969260887,rough,Driver
-22.105823028724984,237.90160969260887,rough,Driver
13.894176971275016,230.90160969260887,fairway,Driver
5.894176971275016,219.90160969260887,fairway,Driver
-20.105823028724984,218.90160969260887,rough,Driver
-27.105823028724984,218.90160969260887,rough,Driver
-9.105823028724984,230.90160969260887,fairway,Driver
-25.105823028724984,235.90160969260887,rough,Driver
-17.105823028724984,239.90160969260887,fairway,Driver
9.894176971275016,222.90160969260887,fairway,Driver
-7.105823028724984,214.90160969260887,fairway,Driver
18.894176971275016,224.90160969260887,rough,Driver
14.894176971275016,226.90160969260887,rough,Driver
-23.105823028724984,232.90160969260887,rough,Driver
-6.105823028724984,238.90160969260887,fairway,Driver
-2.105823028724984,219.90160969260887,fairway,Driver
-25.105823028724984,232.90160969260887,rough,Driver
-37.105823028724984,221.90160969260887,rough,Driver
-25.105823028724984,244.90160969260887,rough,Driver
-28.105823028724984,218.90160969260887,rough,Driver
18.894176971275016,208.90160969260887,rough,Driver
-1.1058230287249842,232.90160969260887,fairway,Driver
9.894176971275016,226.90160969260887,fairway,Driver
12.894176971275016,230.90160969260887,fairway,Driver
-18.105823028724984,218.90160969260887,fairway,Driver
-8.105823028724984,222.90160969260887,fairway,Driver
14.894176971275016,229.90160969260887,rough,Driver
7.894176971275016,226.90160969260887,fairway,Driver
-1.1058230287249842,233.90160969260887,fairway,Driver
-47.105823028724984,224.90160969260887,rough,Driver
18.894176971275016,215.90160969260887,rough,Driver
-26.105823028724984,222.90160969260887,rough,Driver
-6.105823028724984,250.90160969260887,fairway,Driver
15.894176971275016,227.90160969260887,rough,Driver
-3.105823028724984,218.90160969260887,fairway,Driver
-18.105823028724984,233.90160969260887,fairway,Driver
7.894176971275016,216.90160969260887,fairway,Driver
-18.105823028724984,225.90160969260887,fairway,Driver
-21.105823028724984,203.90160969260887,rough,3-wood
2.894176971275016,198.90160969260887,fairway,3-wood
-9.105823028724984,206.90160969260887,fairway,3-wood
-2.105823028724984,215.90160969260887,fairway,3-wood
-12.105823028724984,205.90160969260887,fairway,3-wood
-4.105823028724984,212.90160969260887,fairway,3-wood
-12.105823028724984,201.90160969260887,fairway,3-wood
13.894176971275016,191.90160969260887,rough,3-wood
0.8941769712750158,199.90160969260887,fairway,3-wood
-2.105823028724984,197.90160969260887,fairway,3-wood
18.894176971275016,199.90160969260887,rough,3-wood
15.894176971275016,190.90160969260887,rough,3-wood
-18.105823028724984,211.90160969260887,fairway,3-wood
5.894176971275016,193.90160969260887,fairway,3-wood
-6.105823028724984,219.90160969260887,fairway,3-wood
8.894176971275016,203.90160969260887,fairway,3-wood
-12.105823028724984,205.90160969260887,fairway,3-wood
-13.105823028724984,207.90160969260887,fairway,3-wood
5.894176971275016,186.90160969260887,fairway,3-wood
-4.105823028724984,205.90160969260887,fairway,3-wood
9.894176971275016,188.90160969260887,rough,3-wood
-26.105823028724984,187.90160969260887,rough,3-wood
18.894176971275016,202.90160969260887,rough,3-wood
-5.105823028724984,205.90160969260887,fairway,3-wood
-21.105823028724984,219.90160969260887,rough,3-wood
-8.105823028724984,204.90160969260887,fairway,3-wood
-9.105823028724984,203.90160969260887,fairway,3-wood
-10.105823028724984,196.90160969260887,fairway,3-wood
-18.105823028724984,206.90160969260887,fairway,3-wood
18.894176971275016,206.90160969260887,rough,3-wood
18.894176971275016,183.90160969260887,rough,3-wood
-3.105823028724984,205.90160969260887,fairway,3-wood
-6.105823028724984,211.90160969260887,fairway,3-wood
13.894176971275016,193.90160969260887,rough,3-wood
2.894176971275016,200.90160969260887,fairway,3-wood
-16.105823028724984,206.90160969260887,fairway,3-wood
9.894176971275016,194.90160969260887,rough,3-wood
-34.105823028724984,207.90160969260887,rough,3-wood
-17.105823028724984,228.90160969260887,fairway,3-wood
-0.1058230287249841,193.90160969260887,fairway,3-wood
-3.105823028724984,199.90160969260887,fairway,3-wood
-0.1058230287249841,206.90160969260887,fairway,3-wood
18.894176971275016,205.90160969260887,rough,3-wood
-2.105823028724984,218.90160969260887,fairway,3-wood
-22.105823028724984,217.90160969260887,rough,3-wood
-14.105823028724984,201.90160969260887,fairway,3-wood
3.894176971275016,214.90160969260887,fairway,3-wood
16.894176971275016,214.90160969260887,rough,3-wood
12.894176971275016,191.90160969260887,rough,3-wood
11.894176971275016,197.90160969260887,rough,3-wood
15.894176971275016,195.90160969260887,rough,3-wood
-7.105823028724984,220.90160969260887,fairway,3-wood
1.894176971275016,190.90160969260887,fairway,3-wood
5.894176971275016,205.90160969260887,fairway,3-wood
-4.105823028724984,205.90160969260887,fairway,3-wood
6.894176971275016,191.90160969260887,fairway,3-wood
-1.1058230287249842,209.90160969260887,fairway,3-wood
-19.105823028724984,198.90160969260887,fairway,3-wood
9.894176971275016,187.90160969260887,rough,3-wood
-2.105823028724984,206.90160969260887,fairway,3-wood
10.894176971275016,192.90160969260887,rough,3-wood
4.894176971275016,196.90160969260887,fairway,3-wood
18.894176971275016,196.90160969260887,rough,3-wood
-28.105823028724984,211.90160969260887,rough,3-wood
-25.105823028724984,208.90160969260887,rough,3-wood
18.894176971275016,187.90160969260887,rough,3-wood
17.894176971275016,181.90160969260887,rough,3-wood
-7.105823028724984,203.90160969260887,fairway,3-wood
-33.105823028724984,202.90160969260887,rough,3-wood
18.894176971275016,182.90160969260887,rough,3-wood
-4.105823028724984,205.90160969260887,fairway,3-wood
2.894176971275016,193.90160969260887,fairway,3-wood
-11.105823028724984,195.90160969260887,fairway,3-wood
18.894176971275016,192.90160969260887,rough,3-wood
18.894176971275016,204.90160969260887,rough,3-wood
-18.105823028724984,188.90160969260887,fairway,3-wood
-11.105823028724984,212.90160969260887,fairway,3-wood
15.894176971275016,209.90160969260887,rough,3-wood
-10.105823028724984,205.90160969260887,fairway,3-wood
1.894176971275016,169.90160969260887,fairway,3-wood
-1.1058230287249842,206.90160969260887,fairway,3-wood
-6.105823028724984,205.90160969260887,fairway,3-wood
8.894176971275016,190.90160969260887,rough,3-wood
-15.105823028724984,205.90160969260887,fairway,3-wood
11.894176971275016,189.90160969260887,rough,3-wood
-3.105823028724984,196.90160969260887,fairway,3-wood
-1.1058230287249842,207.90160969260887,fairway,3-wood
-7.105823028724984,194.90160969260887,fairway,3-wood
-3.105823028724984,218.90160969260887,fairway,3-wood
18.894176971275016,199.90160969260887,rough,3-wood
-3.105823028724984,203.90160969260887,fairway,3-wood
-5.105823028724984,198.90160969260887,fairway,3-wood
-3.105823028724984,203.90160969260887,fairway,3-wood
15.894176971275016,187.90160969260887,rough,3-wood
0.8941769712750158,191.90160969260887,fairway,3-wood
1.894176971275016,201.90160969260887,fairway,3-wood
11.894176971275016,190.90160969260887,rough,3-wood
-25.105823028724984,194.90160969260887,rough,3-wood
-7.105823028724984,206.90160969260887,fairway,3-wood
-4.105823028724984,193.90160969260887,fairway,3-wood
-38.105823028724984,199.90160969260887,rough,5-wood
17.894176971275016,189.90160969260887,rough,5-wood
4.894176971275016,209.90160969260887,fairway,5-wood
3.894176971275016,187.90160969260887,fairway,5-wood
8.894176971275016,182.90160969260887,rough,5-wood
18.894176971275016,188.90160969260887,rough,5-wood
-0.1058230287249841,196.90160969260887,fairway,5-wood
-25.105823028724984,208.90160969260887,rough,5-wood
1.894176971275016,189.90160969260887,fairway,5-wood
-13.105823028724984,192.90160969260887,fairway,5-wood
-27.105823028724984,206.90160969260887,rough,5-wood
-6.105823028724984,211.90160969260887,fairway,5-wood
-13.105823028724984,189.90160969260887,fairway,5-wood
-0.1058230287249841,190.90160969260887,fairway,5-wood
-12.105823028724984,200.90160969260887,fairway,5-wood
13.894176971275016,189.90160969260887,rough,5-wood
