x,y,lie
-117.10582302872498,-24.098390307391128,rough
-117.10582302872498,-23.098390307391128,rough
-117.10582302872498,-22.098390307391128,rough
-117.10582302872498,-21.098390307391128,rough
-117.10582302872498,-20.098390307391128,rough
-117.10582302872498,-19.098390307391128,rough
-117.10582302872498,-18.098390307391128,rough
-117.10582302872498,-17.098390307391128,rough
-117.10582302872498,-16.098390307391128,rough
-117.10582302872498,-15.098390307391128,rough
-117.10582302872498,-14.098390307391128,rough
-117.10582302872498,-13.098390307391128,rough
-117.10582302872498,-12.098390307391128,rough
-117.10582302872498,-11.098390307391128,rough
-117.10582302872498,-10.098390307391128,rough
-117.10582302872498,-9.098390307391128,rough
-117.10582302872498,-8.098390307391128,rough
-117.10582302872498,-7.098390307391128,rough
-117.10582302872498,-6.098390307391128,rough
-117.10582302872498,-5.098390307391128,rough
-117.10582302872498,-4.098390307391128,rough
-117.10582302872498,-3.098390307391128,rough
-117.10582302872498,-2.098390307391128,rough
-117.10582302872498,-1.0983903073911279,rough
-117.10582302872498,-0.09839030739112786,rough
-117.10582302872498,0.9016096926088721,rough
-117.10582302872498,1.9016096926088721,rough
-117.10582302872498,2.901609692608872,rough
-117.10582302872498,3.901609692608872,rough
-117.10582302872498,4.901609692608872,rough
-117.10582302872498,5.901609692608872,rough
-117.10582302872498,6.901609692608872,rough
-117.10582302872498,7.901609692608872,rough
-117.10582302872498,8.901609692608872,rough
-117.10582302872498,9.901609692608872,rough
-117.10582302872498,10.901609692608872,rough
-117.10582302872498,11.901609692608872,rough
-117.10582302872498,12.901609692608872,rough
-117.10582302872498,13.901609692608872,rough
-117.10582302872498,14.901609692608872,rough
-117.10582302872498,15.901609692608872,rough
-117.10582302872498,16.901609692608872,rough
-117.10582302872498,17.901609692608872,rough
-117.10582302872498,18.901609692608872,rough
-117.10582302872498,19.901609692608872,rough
-117.10582302872498,20.901609692608872,rough
-117.10582302872498,21.901609692608872,rough
-117.10582302872498,22.901609692608872,rough
-117.10582302872498,23.901609692608872,rough
-117.10582302872498,24.901609692608872,rough
-117.10582302872498,25.901609692608872,rough
-117.10582302872498,26.901609692608872,rough
-117.10582302872498,27.901609692608872,rough
-117.10582302872498,28.901609692608872,rough
