WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((-61.354096038035124 295.8541856066597, -61.3693236918635 304.07901573612776, -62.40037124376695 310.09233201116217, -66.75088708455442 315.1883205605998, -69.48503818470219 320.9230591709104, -71.80501640521125 327.54024412716603, -73.08353222089725 332.6252311638848, -72.21249022240289 335.8730340014597, -69.54915733157273 338.6150807273168, -62.294308996470214 340.1058387153955, -55.034776816256546 341.184275597102, -46.47480210122284 338.1681315363119, -40.526656901669604 335.3601774620188, -37.86691083265081 330.54271467229796, -38.704727457937075 325.2306073227453, -50.94713743891478 317.9755899628083, -54.29001806706012 309.94015236886867, -52.56113789798111 305.0550528007136, -41.788803336484726 300.0972506477967, -33.12217315518849 298.95744487815364, -24.260217724739043 297.10373660919004, -10.738084856987417 286.49407778929003, -4.4861431828146054 276.55268771312535, 2.1059016429506996 264.86110615622465, 6.801326557091369 254.48869302748335, 8.989811521983508 241.21908879110947, 13.583636218932654 230.08994221053626, 15.67307266604303 220.01130000467924, 14.328558318237658 211.68740850533936, 24.047621140213455 200.33089247255816, 32.58840997564756 196.4481430808337, 37.36185769389231 186.9261413220795, 37.93103590533639 175.02393445335883, 33.04214621356474 153.66312518388554, 30.733918872860826 139.6881119739271, 26.137556234798023 128.51013229417845, 11.256991605140655 130.61289746631815, 5.601155086008256 133.16602086745206, -8.089692466651389 145.0676671745225, -12.611177217556392 158.929571792047, -13.447972477307877 175.58870925024507, -15.556893989072083 193.4324993697112, -16.541658489952248 208.4882353051455, -16.664200167337263 223.63050097474684, -20.268456155358088 236.23105583257825, -26.269512976052184 250.99841052772376, -35.83009369648725 261.9376413834482, -47.54436756670786 271.1404622328507, -55.607999226385715 281.1570047474629, -61.354096038035124 295.8541856066597), (-60.20580278369167 310.7338620337305, -55.30327423257615 313.37028053093377, -52.178388382067055 318.0653626429114, -48.44047776242316 322.0187654610106, -43.04979772339135 325.49235780062304, -42.161512850874125 330.1428878327522, -45.252303272453226 334.2071030233467, -51.0474480495346 336.35017040004755, -56.88095254980733 338.453973646441, -63.057617419128846 338.2483124078942, -69.6185432230835 335.5701217951264, -71.2504451163254 330.0406312688949, -68.70853108956436 323.2876288011687, -65.40829682859916 316.56256506872296, -60.20580278369167 310.7338620337305)))",13.0,r16389484,16389484,relation,fairway,multipolygon,fairway,Fairways,14,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-67.0369609542621 340.501928485902, -63.20908922858471 340.9430270904818, -60.08026234660131 342.1619362116155, -58.65379619922539 346.16611955508574, -57.84195049461682 349.5921369420705, -61.364010519763 351.6451596613672, -63.75219851042937 348.22951886731516, -65.94836264270792 346.2681435900686, -69.25686756487849 345.84601891158286, -69.14765352291671 342.49033729868074, -67.0369609542621 340.501928485902)))",24.0,w1208043336,1208043336,way,bunker,multipolygon,bunker,Greens and bunks,14,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-42.19980379401923 309.34026366518196, -42.621657563332626 313.28021511342513, -39.34560424956954 313.0386738693994, -34.96657783041959 312.0825242359058, -33.30167581211782 314.2897653745365, -34.47023477363446 319.0829226880021, -35.5534253444551 323.45400722453746, -41.358175097344116 323.4698254042098, -45.27193277491831 321.6448925590828, -49.013144783898305 319.8596577579724, -50.94713743891478 317.9755899628083, -51.904808204372074 310.28010099676294, -44.77171402784574 305.82572344025493, -42.19980379401923 309.34026366518196)))",25.0,w1208043337,1208043337,way,bunker,multipolygon,bunker,Greens and bunks,14,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-60.20580278369167 310.7338620337305, -55.30327423257615 313.37028053093377, -52.178388382067055 318.0653626429114, -48.44047776242316 322.0187654610106, -43.04979772339135 325.49235780062304, -42.161512850874125 330.1428878327522, -45.252303272453226 334.2071030233467, -51.0474480495346 336.35017040004755, -56.88095254980733 338.453973646441, -63.057617419128846 338.2483124078942, -69.6185432230835 335.5701217951264, -71.2504451163254 330.0406312688949, -68.70853108956436 323.2876288011687, -65.40829682859916 316.56256506872296, -60.20580278369167 310.7338620337305)))",26.0,w1208043338,1208043338,way,green,multipolygon,green,Greens and bunks,14,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-9.457772190107072 -3.5361875682258415, 0.6812856490895755 -6.438907460386645, 9.063616457857199 -6.516478614520338, 11.599974871501901 -3.627384486929941, 9.63913952494399 1.8322332460081725, 6.503350496336376 5.111680745588956, -3.9335767989743715 7.037665987403443, -10.363989447963581 4.996151360509202, -11.49669739852705 1.7830015267679755, -9.457772190107072 -3.5361875682258415)))",114.0,w1208043443,1208043443,way,tee,multipolygon,tee,Greens and bunks,14,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
