WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((-133.2460288773129 527.4515322189745, -134.1289391450174 529.6177531739045, -134.4918312963923 539.7606782592993, -137.5316430824907 547.9042238120428, -139.52502869015944 554.3762895910231, -141.93334618328103 559.5017841587878, -144.86018753167906 563.080819472093, -149.18926330642373 561.9555423801285, -152.7003668328214 559.3535110160815, -157.2975456987628 551.3708030019689, -158.63477714142243 546.2565997738238, -157.33463175764751 540.3075229917022, -153.56394747955082 535.6542084168314, -150.4990268214212 532.1553065821172, -146.28669250576343 527.2576091278188, -142.47169052686203 525.3050881045874, -142.50721735607596 520.9516288389273, -141.165852032302 506.25286785180606, -137.41413451974063 497.0646278284221, -134.33909716310637 488.21791061041495, -130.76973527544436 480.18707102885173, -126.87001954351508 470.52033685342167, -121.90158884623324 461.0916714068958, -117.9541270349984 455.7182571675571, -111.87008276238562 452.81440949063835, -106.076935190046 452.13196989821654, -96.45871610340306 451.466697118251, -92.85246594858341 459.2883252996103, -98.39908457186081 467.99398181607785, -100.16705482053011 474.3562508860168, -102.53186069367857 488.1142955838095, -105.96501241900971 501.3425630006668, -110.84055255824319 513.8027490925606, -123.41825765607567 522.3361843436101, -133.2460288773129 527.4515322189745), (-142.49306976314367 527.3096017019338, -147.0691793133921 529.1494951935101, -149.87671609618576 534.7403814718177, -152.60047514687705 537.989659446016, -155.98745782665895 541.2043469771311, -157.3888505611442 545.7624361496528, -154.44825431453515 552.491833858287, -151.04567116926344 558.12703659931, -148.07230032548628 561.1264588804647, -144.6250481688962 561.5736675404173, -142.5596728833034 558.4359154463937, -140.10187009642266 551.9272947311697, -138.55935947969326 547.3644102411481, -136.26882870957152 542.9985579809363, -135.05727734319845 535.5862215693128, -135.6068130010674 528.4345400518805, -142.49306976314367 527.3096017019338)))",7.0,r16389196,16389196,relation,fairway,multipolygon,fairway,Fairways,8,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-133.60410474624706 541.3993252362548, -133.0635904768516 534.1707867195305, -129.9143516477189 532.5360472310263, -126.4815983931454 534.5140706589564, -126.0358496052355 540.6271365428734, -128.3034832993298 545.7599684765682, -132.45884657944504 553.2861874643299, -135.1859690385902 555.2225149175001, -138.47256964536263 554.2245400890511, -138.5852537425963 550.6206868358072, -135.20156950550938 546.3726246436363, -133.60410474624706 541.3993252362548)))",60.0,w1208043381,1208043381,way,bunker,multipolygon,bunker,Greens and bunks,8,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-154.03940245712286 559.6361780097891, -155.9762660306773 555.5239035855084, -159.35623555165537 553.1961286677233, -163.5490361968809 557.5478552779282, -162.1445899731011 566.12983172947, -158.7468231116995 567.9601665386076, -155.5699772754944 566.6793713217226, -154.03940245712286 559.6361780097891)))",61.0,w1208043382,1208043382,way,bunker,multipolygon,bunker,Greens and bunks,8,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-142.49306976314367 527.3096017019338, -147.0691793133921 529.1494951935101, -149.87671609618576 534.7403814718177, -152.60047514687705 537.989659446016, -155.98745782665895 541.2043469771311, -157.3888505611442 545.7624361496528, -154.44825431453515 552.491833858287, -151.04567116926344 558.12703659931, -148.07230032548628 561.1264588804647, -144.6250481688962 561.5736675404173, -142.5596728833034 558.4359154463937, -140.10187009642266 551.9272947311697, -138.55935947969326 547.3644102411481, -136.26882870957152 542.9985579809363, -135.05727734319845 535.5862215693128, -135.6068130010674 528.4345400518805, -142.49306976314367 527.3096017019338)))",62.0,w1208043383,1208043383,way,green,multipolygon,green,Greens and bunks,8,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-75.79997516761523 469.7560944556699, -76.4480295257 472.9556116269532, -78.21690932501059 475.40381859515264, -81.09938580664247 474.36614424629397, -83.38867641414515 472.7881072395098, -86.73083945684304 473.3431161558792, -90.05581344679258 474.54325379623697, -93.20548635628346 476.19012596989705, -94.92503149045928 474.7268913260382, -95.15880075338781 470.8493057210171, -93.91172255637143 467.7904285767795, -91.32834316015517 463.9625288194702, -89.88350088701087 462.1294985706254, -87.07329753360746 462.37330738600804, -85.37367587442287 462.70505769169176, -82.28739956156296 460.8603938682586, -78.82740841165764 463.484070112936, -76.77946424205138 466.17996492018165, -75.79997516761523 469.7560944556699)))",63.0,w1208043385,1208043385,way,bunker,multipolygon,bunker,Greens and bunks,8,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-83.41210911785369 373.8303839464652, -87.74672448459685 382.7086504433805, -94.45883755898907 395.8509908378346, -100.22900816704289 410.8049803907693, -104.89187482789568 426.6068175352757, -108.27716834363027 437.09047753957066, -109.38236973638557 441.5303060034489, -107.34612507650606 446.5229470528311, -103.59790668281153 446.7184354639744, -95.01582575322142 446.87430628028096, -84.03369845744751 445.7939551588629, -77.47353749875474 440.55680630183815, -70.69722463277415 427.3084163251474, -65.22524445108628 417.03083010726004, -57.57466156322634 405.7972003577106, -53.33157242785494 399.75850636631094, -49.148862012279146 391.4679281895701, -39.162515323956335 371.2274711456075, -34.22058429423723 360.56973577654617, -29.97532186405411 348.8424630147142, -22.660127587447732 338.2598839420507, -8.075618854872705 313.3120268468565, -1.7539548913802308 297.0132487111732, 2.89328772100204 276.0202729014304, 14.906810520486873 253.70974008994835, 21.68309354861533 214.01136126431993, 24.086104370801632 187.92980955762005, 22.89748809995436 164.31079731946284, 15.825308253638248 137.7107561871253, 9.599809229073413 120.36861009616587, 4.300622849198749 110.90280518430518, -2.779139949551019 100.55403814503052, -8.668216651022176 98.28988589162691, -15.161508363072011 103.62776491717796, -16.30098150421079 110.99523927028031, -16.047513024014265 130.08016391423553, -15.660740132319338 149.37868157867342, -16.993361744746515 169.74228006385147, -16.694748788665915 187.56540541363165, -17.226454378096957 200.73835729356233, -14.645950893431671 218.37661156692775, -11.800598487324164 240.1493342322351, -15.994208103543512 256.06073276203006, -29.055916985871274 283.75002769997764, -41.61198875184675 302.6530834984078, -48.351835880384336 309.254412549742, -57.01726623775509 322.68384803996923, -67.29444465916278 345.42528903185257, -74.84864364328521 361.5625416780972, -83.41210911785369 373.8303839464652)))",64.0,w1208043386,1208043386,way,fairway,multipolygon,fairway,Greens and bunks,8,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((33.0338479724505 234.98784020059247, 32.173096555863054 238.50445792961636, 30.46652670649227 243.99474593625655, 27.424742303183418 247.40976716730074, 24.64366668533104 244.66348054971377, 24.285947898658918 239.4666552518811, 25.024551085841065 234.86184295112025, 27.444305326915376 231.9492140252737, 30.927521283239795 231.10983392452908, 33.0338479724505 234.98784020059247)))",91.0,w1208043418,1208043418,way,bunker,multipolygon,bunker,Greens and bunks,8,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((17.116109334055725 281.44186461014897, 17.796498434343356 285.7803353823965, 14.28615094122972 290.1919660001431, 11.394384536172574 290.5395141870372, 9.766820409403831 288.1937380885324, 9.848407042608912 283.9436294759025, 8.31853195367309 280.8371628722466, 6.691162731327874 279.33011436573906, 6.580279925573757 275.95730623356985, 8.025296410323124 272.99383984069664, 11.161902600395173 273.4005361029426, 13.502654004741618 272.6960559410395, 16.378188070794387 268.2999379163675, 18.907567148059464 267.1069273072817, 21.38633000907507 271.8309201017473, 19.410003516919428 278.3889628761426, 17.819073561732967 279.5215203941075, 17.116109334055725 281.44186461014897)))",92.0,w1208043419,1208043419,way,bunker,multipolygon,bunker,Greens and bunks,8,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((2.7794958011356465 -21.888368030504353, 2.9635377042081723 -10.148880656217898, 4.321752802554033 2.539184474715057, 5.82056603849109 12.985847370403008, 4.228829999614352 20.050161466756435, -1.3017040245501241 24.64815701347561, -3.630103357124854 20.223734229730326, -3.461632563383715 8.198749039122504, -3.0531618500491473 -3.218108027328981, -4.9605049933313285 -13.783320411021123, -5.605080923938341 -21.9366954085649, -2.3621247602485065 -24.502507094064185, 2.7794958011356465 -21.888368030504353)))",93.0,w1208043420,1208043420,way,tee,multipolygon,tee,Greens and bunks,8,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((1.35437391977151 38.485736138445645, -1.5061857782695849 45.277234183761266, -5.750553576022799 47.69357462200105, -8.541654456336651 41.28801230130193, -5.402830697083084 34.316541922239594, -2.2753609116496816 33.008860845361596, 1.35437391977151 38.485736138445645)))",94.0,w1208043421,1208043421,way,tee,multipolygon,tee,Greens and bunks,8,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
