WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((7.776734155714233 103.50505296825872, 9.851038675700824 91.28577226614993, 8.515856377163866 81.7129882122515, 5.294893162286593 73.82293814015043, -4.397450155985145 70.1332127179819, -11.935691136546483 72.98375079713537, -15.391658638197317 84.52692430904904, -18.6937184083252 96.55825765640316, -21.51463095689022 113.22905354022282, -27.30524788871388 125.38124038045112, -28.544046926653724 137.1720966714645, -26.848929139440685 150.02770208405195, -25.481916480519885 166.17421612016983, -24.477391612843892 179.8154980968127, -17.478146442067032 201.91390657179568, -11.626492236849968 216.1511519485896, -12.019865135222481 226.8839637300573, -9.983727687296524 243.52110291557779, -6.099934042670323 269.6120966394699, -0.285092834120856 288.36494441272976, 4.743817397605093 299.1426676959202, 15.449454319839777 321.93779012950813, 21.18254678359625 330.6610837970254, 24.947274998690467 339.9060037808806, 28.73825634597633 347.3739454389795, 31.692904411565575 352.65111806026994, 33.802126333299505 358.98633519110604, 34.59465997973572 367.3427056758453, 35.46218893868421 370.5577820738574, 36.922573478320935 375.96435905924295, 40.12969441250248 381.37170781935197, 45.668244472089114 383.80118810507724, 50.9592043493127 382.220094403948, 53.878961548630556 378.0274309047479, 55.405124321434094 375.83658687304364, 54.00872913796692 367.2061146776912, 49.96298010868701 356.47861395722543, 43.99696755148905 348.8466410644753, 40.462416269088074 338.3890054798155, 41.59643373338169 320.71442855143346, 41.7036501574197 308.6279795160556, 41.77794866963067 295.0847925699543, 38.71769122788666 281.3047058616655, 32.91477694751051 267.53235802571567, 23.992460718276927 249.38482561414162, 17.327093283128768 225.586774357306, 5.3886631351734735 199.35292681592614, 8.524076255753194 152.42924716282573, 6.1168065089168815 133.5277013649477, 5.643671367367331 119.26877746371133, 7.776734155714233 103.50505296825872), (35.08481366343304 352.9670094116034, 37.030531314848545 350.7307582191413, 41.30949350128368 350.2277744662558, 45.406634700881085 353.4336488942506, 50.62690260512658 361.9041389407937, 53.4100964304068 371.08177484709245, 53.462087713597484 375.3417626480075, 52.12204926716588 378.7340381597767, 47.431728363867144 382.04959172553913, 43.487951117927096 381.8903731695957, 39.98749395287101 379.70961537325024, 37.05166629044315 373.48423828199316, 35.11035643957579 365.7634180062985, 33.88292530815961 356.8625420686874, 35.08481366343304 352.9670094116034)))",6.0,r16389195,16389195,relation,fairway,multipolygon,fairway,Fairways,7,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((5.036941314656181 6.927111176884182, 7.309581115260273 6.067451376665076, 7.193285384811136 -1.5725658266057962, 5.1338864183965915 -4.901450896544475, -1.2758635063031745 -6.077661325299459, -6.933361544674188 -8.16063498270637, -7.0751226903126625 2.486137663682939, -3.8028006198969546 5.257539619045701, 2.768225396994937 7.069879089182223, 5.036941314656181 6.927111176884182)))",70.0,w1208043393,1208043393,way,tee,multipolygon,tee,Greens and bunks,7,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((35.08481366343304 352.9670094116034, 37.030531314848545 350.7307582191413, 41.30949350128368 350.2277744662558, 45.406634700881085 353.4336488942506, 50.62690260512658 361.9041389407937, 53.4100964304068 371.08177484709245, 53.462087713597484 375.3417626480075, 52.12204926716588 378.7340381597767, 47.431728363867144 382.04959172553913, 43.487951117927096 381.8903731695957, 39.98749395287101 379.70961537325024, 37.05166629044315 373.48423828199316, 35.11035643957579 365.7634180062985, 33.88292530815961 356.8625420686874, 35.08481366343304 352.9670094116034)))",96.0,w1208043423,1208043423,way,green,multipolygon,green,Greens and bunks,7,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((51.84394496692688 353.8703214685472, 46.75582811806478 349.64503007793724, 45.47971917611839 343.1317268395662, 49.566433773214754 339.46431263188856, 53.719012994926196 343.9658226597487, 54.84459657019459 348.00335691128, 59.00196079213647 352.0041903233903, 62.36187310543679 357.761242574619, 57.77225460920869 360.54623306804956, 54.941113092766614 359.75508454635815, 51.84394496692688 353.8703214685472)))",97.0,w1208043424,1208043424,way,bunker,multipolygon,bunker,Greens and bunks,7,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((31.716340975577058 367.04634115503154, 33.03468937685657 362.6051481071124, 32.19283871579344 358.74535429904995, 27.953303938617335 356.8076165963396, 22.060875025192665 357.86427027811783, 17.170809428017158 359.82091030143124, 19.015593721529655 371.1068561285981, 23.588395825481403 378.70940344270934, 27.06636619788822 378.6482853707287, 29.692560730746585 383.0154201841367, 34.49289429835944 385.90413583739405, 36.84505692253927 383.3094775643633, 34.25478094856454 376.61350325805074, 31.716340975577058 367.04634115503154)))",103.0,w1208043430,1208043430,way,bunker,multipolygon,bunker,Greens and bunks,7,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-35.402761361719016 189.50789480733533, -37.14981283734744 182.90319842546637, -33.81321286229586 179.9699680655533, -29.01492113559452 183.48075515887217, -27.836931244568 191.17326728954026, -27.195495537919037 194.3569164099597, -22.80224389025816 195.8838298211333, -21.399499011097845 201.14409364064272, -23.237210265993298 203.97449401636436, -22.846494134062112 208.88663266493836, -26.375821103668986 210.23718555356822, -28.67541309224577 208.3011441168071, -29.07276520856871 205.41073765274746, -35.401460930438425 202.03297516854605, -37.414670016242404 196.11736364030207, -35.509429492644 191.37742121282713, -35.402761361719016 189.50789480733533)))",104.0,w1208043431,1208043431,way,bunker,multipolygon,bunker,Greens and bunks,7,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-34.69910483941773 159.3782548482693, -37.6971019345825 153.42948227558395, -38.910850585612465 147.53855864389266, -37.17326690634001 144.10646042652274, -34.1071323962456 144.6104518508389, -29.663931304876236 151.0194245064406, -29.655322368898798 157.0107905351449, -31.53258752001306 160.40618518293172, -34.69910483941773 159.3782548482693)))",105.0,w1208043432,1208043432,way,bunker,multipolygon,bunker,Greens and bunks,7,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
