WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((8.464831211890424 62.57826865388665, 15.288134205351408 87.45503496264178, 15.34179834008269 103.57664907974936, 12.280318506477865 119.60759456797518, 4.043694984735842 130.6145617011839, -1.7405149834498228 137.17080373260728, -2.485266886300562 142.57675825224624, -1.8175047230871086 146.0805148907582, 1.841974781490083 150.99826930161385, 7.675638329072678 159.5627499734212, 8.966108172725514 163.28680018371642, 11.517649838307948 170.67997371424212, 9.180018640906429 177.11930502453242, 5.519560333078333 180.72976045781502, 1.054226905910645 180.73401098026466, -2.89393889463379 178.93320318512565, -7.403757490127967 174.68695935168512, -10.195029742091052 167.28214223626424, -12.126589502233236 161.52099517846978, -10.745070922474893 153.26619087862696, -9.185482776332652 151.28146171692038, -10.947349153426133 139.41387042102747, -11.635996167539856 130.1913252288898, -8.237470155844468 117.72348186233444, -2.9079455983272493 104.67533809008955, -0.5946725769467374 89.83496404148241, 0.888967971601739 76.3238707534299, 0.8899467777113423 67.7956609118803, 2.806007688383594 63.83859046008183, 8.464831211890424 62.57826865388665), (-7.45504200272952 152.80692544652197, -9.47340311786593 156.95926651604395, -9.611458051466045 162.31877029029988, -7.129224460558521 169.22097197621156, -5.801953321887532 173.51237094469184, -1.71717833252596 177.55862145624747, 2.7439261278482636 178.08660841697588, 6.075321152372122 176.23379129657224, 8.651040545667529 173.88316059014414, 8.969544669210624 169.03531216424312, 8.364592464791619 163.11441125234637, 5.014804895744612 157.37507524403213, 1.8108032721442213 152.66847311288188, -2.6640530645223532 149.53874558488792, -7.45504200272952 152.80692544652197)))",5.0,r16389194,16389194,relation,fairway,multipolygon,fairway,Fairways,6,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((7.30716286834451 13.286105386292775, -5.9658777234302125 11.052264464480004, -8.429067705115274 -2.6658097210145115, -9.100667754919284 -11.665378532544537, 0.13068219837088 -11.997083818165493, 6.960077495197557 -10.12715878915742, 8.439343987908222 2.242845192369032, 7.30716286834451 13.286105386292775)))",65.0,w1208043387,1208043387,way,tee,multipolygon,tee,Greens and bunks,6,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((4.1376690860055465 27.6319346623211, 4.4838242638117025 15.722536186746083, -5.9998589692316004 14.491366917953883, -5.024839732712432 27.531348439953263, -2.002837625099467 28.13770775126386, 4.1376690860055465 27.6319346623211)))",66.0,w1208043388,1208043388,way,tee,multipolygon,tee,Greens and bunks,6,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((3.94616654706769 138.15217119626823, 8.60100513357452 140.87029072174005, 11.717093290589261 148.58283590710357, 12.869479473562933 153.42416894002213, 16.400658212885595 154.21320825097723, 21.734573769757148 160.3108028635654, 21.94737212634664 167.2357626286896, 21.85233599505561 172.90000754954463, 18.82583462767959 175.43051184396631, 15.10083780076793 172.80850570952566, 13.54680358039816 170.0794744327493, 14.449207137405905 166.1480698493608, 11.660605423205913 161.93090652847104, 8.089619010993838 158.81552762637966, 6.222755377228067 152.7971608025166, 3.335046177953828 148.28679855359383, 0.9503800602666952 143.8645581772323, 1.6318550642202607 139.95248457923822, 3.94616654706769 138.15217119626823)))",67.0,w1208043390,1208043390,way,bunker,multipolygon,bunker,Greens and bunks,6,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-7.45504200272952 152.80692544652197, -9.47340311786593 156.95926651604395, -9.611458051466045 162.31877029029988, -7.129224460558521 169.22097197621156, -5.801953321887532 173.51237094469184, -1.71717833252596 177.55862145624747, 2.7439261278482636 178.08660841697588, 6.075321152372122 176.23379129657224, 8.651040545667529 173.88316059014414, 8.969544669210624 169.03531216424312, 8.364592464791619 163.11441125234637, 5.014804895744612 157.37507524403213, 1.8108032721442213 152.66847311288188, -2.6640530645223532 149.53874558488792, -7.45504200272952 152.80692544652197)))",68.0,w1208043391,1208043391,way,green,multipolygon,green,Greens and bunks,6,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-2.0011215859175486 183.77568599251504, 2.4744719823919903 185.22405075142046, 7.739835110549411 187.61618185411407, 11.228406747570974 193.62313006741488, 9.998582297745756 195.2351159438524, 6.493944709440692 193.56081010886442, 2.5737392916811466 192.1113969487203, -1.4518934985058374 192.52168711216768, -5.2436405422886585 188.71130771468074, -4.696104189389137 185.7414451965269, -2.0011215859175486 183.77568599251504)))",69.0,w1208043392,1208043392,way,bunker,multipolygon,bunker,Greens and bunks,6,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
